index,align_timestamp
130,"[5414.4023 5414.5024 5414.602  5414.702  5414.8022 5414.9023 5415.0024
 5415.102  5415.202  5415.3022 5415.4023 5415.5024 5415.602  5415.702
 5415.8022 5415.9023]"
131,"[5414.5024 5414.602  5414.702  5414.8022 5414.9023 5415.0024 5415.102
 5415.202  5415.3022 5415.4023 5415.5024 5415.602  5415.702  5415.8022
 5415.9023 5416.0024]"
132,"[5414.602  5414.702  5414.8022 5414.9023 5415.0024 5415.102  5415.202
 5415.3022 5415.4023 5415.5024 5415.602  5415.702  5415.8022 5415.9023
 5416.0024 5416.102 ]"
133,"[5414.702  5414.8022 5414.9023 5415.0024 5415.102  5415.202  5415.3022
 5415.4023 5415.5024 5415.602  5415.702  5415.8022 5415.9023 5416.0024
 5416.102  5416.202 ]"
134,"[5414.8022 5414.9023 5415.0024 5415.102  5415.202  5415.3022 5415.4023
 5415.5024 5415.602  5415.702  5415.8022 5415.9023 5416.0024 5416.102
 5416.202  5416.3022]"
135,"[5414.9023 5415.0024 5415.102  5415.202  5415.3022 5415.4023 5415.5024
 5415.602  5415.702  5415.8022 5415.9023 5416.0024 5416.102  5416.202
 5416.3022 5416.4023]"
136,"[5415.0024 5415.102  5415.202  5415.3022 5415.4023 5415.5024 5415.602
 5415.702  5415.8022 5415.9023 5416.0024 5416.102  5416.202  5416.3022
 5416.4023 5416.5024]"
137,"[5415.102  5415.202  5415.3022 5415.4023 5415.5024 5415.602  5415.702
 5415.8022 5415.9023 5416.0024 5416.102  5416.202  5416.3022 5416.4023
 5416.5024 5416.602 ]"
138,"[5415.202  5415.3022 5415.4023 5415.5024 5415.602  5415.702  5415.8022
 5415.9023 5416.0024 5416.102  5416.202  5416.3022 5416.4023 5416.5024
 5416.602  5416.702 ]"
139,"[5415.3022 5415.4023 5415.5024 5415.602  5415.702  5415.8022 5415.9023
 5416.0024 5416.102  5416.202  5416.3022 5416.4023 5416.5024 5416.602
 5416.702  5416.8022]"
140,"[5415.4023 5415.5024 5415.602  5415.702  5415.8022 5415.9023 5416.0024
 5416.102  5416.202  5416.3022 5416.4023 5416.5024 5416.602  5416.702
 5416.8022 5416.9023]"
