index,align_timestamp,robot_timestamp,capture_time
399,5470.065080833,5470.061386136,5456092.0
400,5470.099054944,5470.097018345,5456125.0
401,5470.131426061,5470.127363432,5456158.0
402,5470.16616006,5470.162794592,5456191.0
403,5470.198424526,5470.19834706,5456225.0
404,5470.231765376,5470.229106537,5456258.0
405,5470.264193259,5470.260914234,5456291.0
406,5470.299397453,5470.296260685,5456324.0
407,5470.330831558,5470.327501506,5456358.0
408,5470.365043395,5470.363059796,5456391.0
409,5470.397558573,5470.393590642,5456424.0
410,5470.431093237,5470.429296769,5456457.0
411,5470.465269869,5470.464871299,5456490.0
412,5470.498348536,5470.495204915,5456524.0
413,5470.53079811,5470.527378881,5456557.0
414,5470.564804912,5470.562801154,5456590.0
415,5470.596656602,5470.593385431,5456623.0
416,5470.631395801,5470.629050241,5456657.0
417,5470.663149497,5470.659425945,5456690.0
418,5470.697038948,5470.695509232,5456723.0
419,5470.729969166,5470.726130158,5456756.0
420,5470.763586235,5470.761577448,5456790.0
421,5470.796006304,5470.791980344,5456823.0
422,5470.829998338,5470.827818369,5456856.0
423,5470.863472068,5470.863181352,5456889.0
424,5470.896521751,5470.893838085,5456922.0
425,5470.928924306,5470.92448031,5456956.0
426,5470.963517421,5470.960179735,5456989.0
427,5470.995511168,5470.990445543,5457022.0
428,5471.030835157,5471.025975549,5457055.0
429,5471.063331829,5471.061677068,5457089.0
430,5471.096589633,5471.09226942,5457122.0
431,5471.128589762,5471.127454347,5457155.0
432,5471.162731498,5471.158385446,5457188.0
433,5471.1947702,5471.193666104,5457222.0
434,5471.229668919,5471.229395555,5457255.0
435,5471.261305524,5471.259927704,5457288.0
436,5471.29550064,5471.290394009,5457321.0
437,5471.328058929,5471.325951527,5457355.0
438,5471.361430106,5471.356399577,5457388.0
439,5471.394418553,5471.391844283,5457421.0
440,5471.428508742,5471.427418713,5457454.0
441,5471.460712504,5471.457970629,5457487.0
442,5471.494537154,5471.493263018,5457521.0
443,5471.52724302,5471.523736967,5457554.0
444,5471.561758589,5471.560099319,5457587.0
445,5471.594019468,5471.59285074,5457620.0
446,5471.62873875,5471.623338826,5457654.0
447,5471.661273975,5471.65919191,5457687.0
448,5471.694938163,5471.689997583,5457720.0
449,5471.726832854,5471.725500218,5457753.0
450,5471.758667411,5471.756070689,5457787.0
451,5471.792996329,5471.791726031,5457820.0
452,5471.827173802,5471.827141982,5457853.0
453,5471.859544979,5471.857613317,5457886.0
454,5471.893663531,5471.893140568,5457919.0
455,5471.92600386,5471.923697583,5457953.0
456,5471.959747948,5471.959699647,5457986.0
457,5471.992375927,5471.989967299,5458019.0
458,5472.026523454,5472.025313359,5458052.0
459,5472.058960926,5472.055712027,5458086.0
460,5472.092886425,5472.09215541,5458119.0
461,5472.125289922,5472.122793879,5458152.0
462,5472.158002681,5472.153276555,5458185.0
463,5472.191713026,5472.188872064,5458219.0
464,5472.22589618,5472.224469176,5458252.0
465,5472.25822683,5472.255005393,5458285.0
466,5472.292141559,5472.290423008,5458318.0
467,5472.32499351,5472.320986365,5458352.0
468,5472.358853636,5472.35649438,5458385.0
469,5472.391065052,5472.386938814,5458418.0
470,5472.425160451,5472.422387147,5458451.0
471,5472.457712498,5472.452811513,5458484.0
472,5472.491291886,5472.488464691,5458518.0
473,5472.524335518,5472.524199392,5458551.0
474,5472.558323244,5472.554685724,5458584.0
475,5472.590502149,5472.590222333,5458617.0
476,5472.624263199,5472.620649194,5458651.0
477,5472.657326587,5472.656130749,5458684.0
478,5472.690761354,5472.686601272,5458717.0
479,5472.723464996,5472.722084009,5458750.0
480,5472.757617201,5472.752506452,5458784.0
481,5472.790653118,5472.788172153,5458817.0
482,5472.823936149,5472.819105416,5458850.0
483,5472.855707889,5472.854604664,5458883.0
484,5472.891331561,5472.890034702,5458917.0
485,5472.923407452,5472.920485057,5458950.0
486,5472.956982553,5472.95590138,5458983.0
487,5472.990027196,5472.986314194,5459016.0
488,5473.023357546,5473.021720047,5459049.0
489,5473.055437585,5473.052239893,5459083.0
490,5473.089887841,5473.087816577,5459116.0
491,5473.122299404,5473.118379694,5459149.0
492,5473.156855579,5473.153841942,5459182.0
493,5473.189439716,5473.184406332,5459216.0
494,5473.222753104,5473.220205174,5459249.0
495,5473.255324147,5473.250750106,5459282.0
496,5473.289013252,5473.286115603,5459315.0
497,5473.322024432,5473.321764403,5459349.0
498,5473.355765915,5473.352401108,5459382.0
499,5473.388051641,5473.38762035,5459415.0
500,5473.422084182,5473.418225646,5459448.0
501,5473.454879255,5473.454049806,5459481.0
502,5473.488668148,5473.484350449,5459515.0
503,5473.521374394,5473.519972879,5459548.0
504,5473.55603742,5473.555394071,5459581.0
505,5473.587985632,5473.586163486,5459614.0
506,5473.621315501,5473.616285604,5459648.0
507,5473.653853702,5473.651769283,5459681.0
508,5473.688163995,5473.687276766,5459714.0
509,5473.720729136,5473.717774991,5459747.0
510,5473.754636672,5473.753413181,5459781.0
511,5473.78705134,5473.784007487,5459814.0
512,5473.820875168,5473.819683257,5459847.0
513,5473.853430952,5473.850378082,5459880.0
514,5473.887593888,5473.885798822,5459913.0
515,5473.91994663,5473.91643692,5459947.0
516,5473.953911172,5473.951715865,5459980.0
517,5473.986779454,5473.982446386,5460013.0
518,5474.020052136,5474.017758583,5460046.0
519,5474.052667291,5474.048344022,5460080.0
520,5474.086993924,5474.084334724,5460113.0
521,5474.120709198,5474.119090775,5460146.0
522,5474.153384707,5474.149698907,5460179.0
523,5474.186590113,5474.185155886,5460213.0
524,5474.220159152,5474.215581014,5460246.0
525,5474.252215196,5474.251111721,5460279.0
526,5474.285965436,5474.281546627,5460312.0
527,5474.319241995,5474.31702161,5460345.0
528,5474.352552397,5474.347488957,5460379.0
529,5474.385074478,5474.38317701,5460412.0
530,5474.419216494,5474.418741671,5460445.0
531,5474.451946235,5474.44931604,5460478.0
532,5474.485982172,5474.484909776,5460512.0
533,5474.518143614,5474.515261084,5460545.0
534,5474.552059025,5474.55088659,5460578.0
535,5474.584368085,5474.581170312,5460611.0
536,5474.618483811,5474.617046519,5460645.0
537,5474.650802509,5474.647179808,5460678.0
538,5474.684779616,5474.682670911,5460711.0
539,5474.717467037,5474.713537208,5460744.0
540,5474.751154689,5474.748898878,5460778.0
541,5474.783760216,5474.779537577,5460811.0
542,5474.818839696,5474.815455602,5460844.0
543,5474.849462605,5474.845514942,5460877.0
544,5474.88497608,5474.880929692,5460910.0
545,5474.917313974,5474.916446082,5460944.0
546,5474.948931534,5474.946904382,5460977.0
547,5474.983234603,5474.982362754,5461010.0
548,5475.017177174,5475.012900433,5461043.0
549,5475.049682864,5475.048668447,5461077.0
550,5475.083646695,5475.079173965,5461110.0
551,5475.116381716,5475.115008594,5461143.0
552,5475.150520106,5475.150398878,5461176.0
553,5475.182648476,5475.180812955,5461210.0
554,5475.216913203,5475.216670136,5461243.0
555,5475.249878547,5475.24732228,5461276.0
556,5475.28363055,5475.283113588,5461309.0
557,5475.316289478,5475.313375178,5461342.0
558,5475.350148081,5475.348933818,5461376.0
559,5475.382910323,5475.379455688,5461409.0
560,5475.416552029,5475.415122922,5461442.0
561,5475.448567537,5475.445679547,5461475.0
562,5475.482930879,5475.48107535,5461509.0
563,5475.515686419,5475.511513723,5461542.0
564,5475.54972443,5475.546862528,5461575.0
565,5475.582098642,5475.577280983,5461608.0
566,5475.616425907,5475.612936706,5461642.0
567,5475.648379358,5475.643527335,5461675.0
568,5475.681885228,5475.679151809,5461708.0
569,5475.714506275,5475.709803612,5461741.0
570,5475.748683828,5475.745180631,5461775.0
571,5475.780812989,5475.780779126,5461808.0
572,5475.814927514,5475.811230122,5461841.0
573,5475.847400803,5475.846609365,5461874.0
574,5475.881131967,5475.877041285,5461907.0
575,5475.91397446,5475.913624582,5461941.0
576,5475.946081339,5475.944093963,5461974.0
577,5475.980082501,5475.979605163,5462007.0
